emg1,emg2,emg3,emg4,emg5,emg6,emg7,emg8
19,36,-18,-33,-1,1,12,20
-4,57,15,-15,6,2,12,27
-2,-10,6,3,-25,-3,-12,-29
4,24,-18,-1,0,-4,-3,22
-2,-26,-13,17,-16,-5,-9,25
2,15,27,6,13,3,0,-16
10,4,17,49,-8,-1,5,11
-6,-44,-14,-62,-1,1,-1,2
5,31,-12,-36,7,-4,-3,20
-1,-42,-24,15,4,5,19,36
0,25,19,5,4,-2,-15,-58
7,-40,12,15,-10,-1,-11,-8
-15,-69,-29,-21,4,-3,2,-9
5,43,13,11,-3,-1,0,-1
3,-24,5,17,-17,-2,4,-3
-3,-12,-16,-32,-4,-6,-11,10
0,21,3,9,19,6,-2,-35
4,12,-7,-12,3,-2,1,15
4,-34,3,-11,-9,-7,-10,11
0,80,14,13,-9,-4,1,37
-4,-86,-4,46,-4,-2,2,5
5,20,19,36,0,1,5,-1
-5,2,-26,-63,9,5,1,3
-7,13,-12,39,15,1,4,-22
13,8,29,1,3,-5,3,29
-9,-1,-12,-10,-30,-6,-10,-37
0,16,2,-40,7,6,-7,1
-4,-19,-1,37,13,0,0,-3
3,-23,2,11,-23,-2,8,-5
5,25,-5,-21,6,-5,-5,20
11,73,21,64,-2,0,2,9
-21,-110,-37,-61,-8,2,6,-19
18,54,0,24,29,5,8,33
-10,-16,-9,-17,-13,-6,-18,-35
-3,8,13,20,12,-2,3,4
9,41,20,-29,-9,-2,0,9
-11,21,-4,24,-3,0,-3,-34
16,1,-6,-18,6,3,-4,30
-8,-1,-6,7,-2,-4,-7,-13
-3,-60,9,-24,-18,1,6,5
-11,17,1,26,5,-3,4,1
-1,-30,18,6,25,0,-12,-21
-7,-45,-29,-25,-17,-8,-5,-5
8,24,-3,-33,15,4,12,12
-6,7,-25,-13,-17,2,-9,-40
-6,-42,6,4,0,4,6,9
3,-1,2,28,2,-2,7,9
0,-4,-15,79,23,0,-10,-28
7,97,7,-33,-10,-2,-6,-7
