timestamp,x,y,z,w
1499894579540471,-0.265808,-0.58844,0.655396,0.391846
1499894579555472,-0.265808,-0.58844,0.655396,0.391846
1499894579578473,-0.265808,-0.58844,0.655396,0.391846
1499894579600473,-0.265747,-0.588501,0.655396,0.391785
1499894579614476,-0.265808,-0.588501,0.655457,0.391663
1499894579638476,-0.265747,-0.588562,0.655396,0.391663
1499894579660477,-0.265564,-0.588379,0.655579,0.391785
1499894579674480,-0.265564,-0.588379,0.655579,0.391785
1499894579698480,-0.265564,-0.588379,0.655579,0.391785
1499894579720481,-0.265503,-0.588379,0.655579,0.391846
1499894579734484,-0.265503,-0.588379,0.655579,0.391846
1499894579758487,-0.265503,-0.588379,0.655579,0.391846
1499894579780484,-0.265503,-0.588379,0.655579,0.391846
1499894579794485,-0.265442,-0.588379,0.655579,0.391846
1499894579818486,-0.265625,-0.58844,0.655518,0.391785
1499894579840488,-0.265625,-0.58844,0.655457,0.391785
1499894579854488,-0.265625,-0.58844,0.655518,0.391846
1499894579878490,-0.265625,-0.58844,0.655518,0.391846
1499894579900491,-0.265625,-0.58844,0.655518,0.391846
1499894579914495,-0.265625,-0.588379,0.655518,0.391846
1499894579938494,-0.265564,-0.588379,0.655518,0.391846
1499894579960495,-0.265564,-0.58844,0.655457,0.391846
1499894579981500,-0.265564,-0.58844,0.655457,0.391846
1499894579998499,-0.265564,-0.58844,0.655457,0.391907
1499894580020498,-0.265625,-0.588318,0.655457,0.392029
1499894580041498,-0.265625,-0.588318,0.655457,0.392029
1499894580058501,-0.265625,-0.588318,0.655457,0.392029
1499894580080501,-0.265625,-0.588379,0.655457,0.392029
1499894580101518,-0.265442,-0.588196,0.65564,0.39209
1499894580118505,-0.265198,-0.587891,0.655884,0.392212
1499894580146508,-0.265198,-0.587891,0.655884,0.392212
1499894580161520,-0.265198,-0.587952,0.655884,0.392212
1499894580185508,-0.265198,-0.587952,0.655884,0.392212
1499894580200509,-0.265015,-0.587769,0.655945,0.392456
1499894580221525,-0.264954,-0.587524,0.656067,0.3927
1499894580238512,-0.264893,-0.587524,0.656067,0.392761
1499894580260512,-0.265015,-0.587708,0.655823,0.392761
1499894580281514,-0.265076,-0.587891,0.655579,0.392822
1499894580298514,-0.265076,-0.587952,0.655518,0.392822
1499894580320516,-0.264832,-0.58783,0.655701,0.392822
1499894580341521,-0.264648,-0.587463,0.656067,0.393005
